message_id,channel_name,file_name,detected_class,confidence_score,image_category
10,CheMed123,10.jpg,none,0.0,other
11,CheMed123,11.jpg,clock,0.4273,other
13,CheMed123,13.jpg,"hot dog, donut",0.5039,other
14,CheMed123,14.jpg,none,0.0,other
15,CheMed123,15.jpg,none,0.0,other
17,CheMed123,17.jpg,bottle,0.526,product_display
18,CheMed123,18.jpg,none,0.0,other
19,CheMed123,19.jpg,"dining table, person",0.9401,lifestyle
2,CheMed123,2.jpg,bottle,0.3872,product_display
20,CheMed123,20.jpg,"dining table, person",0.9401,lifestyle
21,CheMed123,21.jpg,bird,0.2526,other
22,CheMed123,22.jpg,stop sign,0.2775,other
23,CheMed123,23.jpg,cell phone,0.6107,other
25,CheMed123,25.jpg,"cell phone, person",0.8613,lifestyle
26,CheMed123,26.jpg,"book, cup, person",0.8276,lifestyle
27,CheMed123,27.jpg,none,0.0,other
29,CheMed123,29.jpg,"surfboard, person",0.6185,lifestyle
3,CheMed123,3.jpg,none,0.0,other
30,CheMed123,30.jpg,person,0.4139,lifestyle
31,CheMed123,31.jpg,bottle,0.5125,product_display
32,CheMed123,32.jpg,person,0.5882,lifestyle
33,CheMed123,33.jpg,"book, orange",0.6712,other
34,CheMed123,34.jpg,none,0.0,other
38,CheMed123,38.jpg,none,0.0,other
39,CheMed123,39.jpg,mouse,0.9114,other
4,CheMed123,4.jpg,none,0.0,other
40,CheMed123,40.jpg,person,0.7191,lifestyle
41,CheMed123,41.jpg,person,0.421,lifestyle
43,CheMed123,43.jpg,"chair, person",0.8565,lifestyle
44,CheMed123,44.jpg,"cell phone, person",0.9387,lifestyle
45,CheMed123,45.jpg,scissors,0.632,other
46,CheMed123,46.jpg,"tv, person",0.8272,lifestyle
48,CheMed123,48.jpg,none,0.0,other
49,CheMed123,49.jpg,"kite, frisbee",0.6802,other
50,CheMed123,50.jpg,cake,0.2916,other
52,CheMed123,52.jpg,"horse, person",0.7039,lifestyle
53,CheMed123,53.jpg,person,0.5738,lifestyle
55,CheMed123,55.jpg,stop sign,0.3071,other
56,CheMed123,56.jpg,person,0.833,lifestyle
57,CheMed123,57.jpg,"potted plant, person",0.8897,lifestyle
58,CheMed123,58.jpg,bottle,0.4115,product_display
59,CheMed123,59.jpg,bottle,0.2866,product_display
60,CheMed123,60.jpg,none,0.0,other
64,CheMed123,64.jpg,"banana, remote, person",0.6865,lifestyle
67,CheMed123,67.jpg,"book, stop sign",0.5792,other
70,CheMed123,70.jpg,"book, potted plant, person",0.9247,lifestyle
71,CheMed123,71.jpg,person,0.8836,lifestyle
74,CheMed123,74.jpg,none,0.0,other
75,CheMed123,75.jpg,person,0.8353,lifestyle
76,CheMed123,76.jpg,"chair, person",0.8694,lifestyle
77,CheMed123,77.jpg,bottle,0.9558,product_display
78,CheMed123,78.jpg,person,0.7699,lifestyle
79,CheMed123,79.jpg,none,0.0,other
80,CheMed123,80.jpg,"bottle, chair, person",0.9279,promotional
81,CheMed123,81.jpg,bottle,0.8818,product_display
82,CheMed123,82.jpg,"apple, bottle",0.8992,product_display
85,CheMed123,85.jpg,none,0.0,other
86,CheMed123,86.jpg,"refrigerator, person",0.9013,lifestyle
87,CheMed123,87.jpg,parking meter,0.2786,other
88,CheMed123,88.jpg,none,0.0,other
9,CheMed123,9.jpg,bottle,0.3872,product_display
90,CheMed123,90.jpg,book,0.3078,other
91,CheMed123,91.jpg,none,0.0,other
92,CheMed123,92.jpg,none,0.0,other
93,CheMed123,93.jpg,person,0.9077,lifestyle
94,CheMed123,94.jpg,"cup, person",0.7409,lifestyle
95,CheMed123,95.jpg,person,0.8684,lifestyle
96,CheMed123,96.jpg,cup,0.326,other
97,CheMed123,97.jpg,none,0.0,other
26557,lobelia4cosmetics,26557.jpg,none,0.0,other
26558,lobelia4cosmetics,26558.jpg,bottle,0.2725,product_display
26559,lobelia4cosmetics,26559.jpg,none,0.0,other
26560,lobelia4cosmetics,26560.jpg,none,0.0,other
26561,lobelia4cosmetics,26561.jpg,none,0.0,other
26562,lobelia4cosmetics,26562.jpg,bottle,0.8619,product_display
26563,lobelia4cosmetics,26563.jpg,none,0.0,other
26564,lobelia4cosmetics,26564.jpg,none,0.0,other
26565,lobelia4cosmetics,26565.jpg,none,0.0,other
26566,lobelia4cosmetics,26566.jpg,cup,0.354,other
26567,lobelia4cosmetics,26567.jpg,none,0.0,other
26568,lobelia4cosmetics,26568.jpg,bottle,0.6433,product_display
26569,lobelia4cosmetics,26569.jpg,none,0.0,other
26570,lobelia4cosmetics,26570.jpg,none,0.0,other
26571,lobelia4cosmetics,26571.jpg,"vase, bottle",0.6695,product_display
26572,lobelia4cosmetics,26572.jpg,bottle,0.4643,product_display
